NO,SCOPE,SEVERITY,DESCRIPTION,app,source_path
7,cocoapi.bmwgroup.com,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
8,cocoapi.bmwgroup.us,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
9,cocoapi.bmwgroup.us,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
10,cocoapi.bmw.co.kr,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
11,cocoapi.bmw.co.kr,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
12,myprofile.bmw.com.cn,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
13,myprofile.bmw.com.cn,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
14,myprofile-hk.bmw.com.cn,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
15,myprofile-hk.bmw.com.cn,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/network_security.csv
1,*,warning,Base config is configured to trust system certificates.,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/network_security.csv
2,127.0.0.1                                                    localhost                                                    10.0.2.2                                                    10.0.3.2                                                    198.208.3.132                                                    198.208.3.23                                                    198.208.3.16                                                    198.208.3.35                                                    192.168.4.1                                                    10.0.4.1                                                    172.16.4.1                                                    192.168.5.1                                                    10.0.5.1                                                    172.16.5.1                                                    192.168.2.100,high,Domain config is insecurely configured to permit clear text traffic to these domains in scope.,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/network_security.csv
1,*,warning,Base config is configured to trust system certificates.,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/network_security.csv
2,127.0.0.1                                                    localhost                                                    10.0.2.2                                                    10.0.3.2                                                    198.208.3.132                                                    198.208.3.23                                                    198.208.3.16                                                    198.208.3.35                                                    192.168.4.1                                                    10.0.4.1                                                    172.16.4.1                                                    192.168.5.1                                                    10.0.5.1                                                    172.16.5.1                                                    192.168.2.100,high,Domain config is insecurely configured to permit clear text traffic to these domains in scope.,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/network_security.csv
1,wsc.hondaweb.com,high,Domain config is insecurely configured to permit clear text traffic to these domains in scope.,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/network_security.csv
1,ext-api.nafta.fcagsdp.com:8443,info,Domain config is configured to trust bundled certs @raw/ignite_naft.,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/network_security.csv
2,ext-api.nafta.fcagsdp.com:8443,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: IDFDH3tcOvIbG0+bLBiv9m+u4cJITbjwBMayaTKuWE8= Digest: SHA-256],Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/network_security.csv
1,*,secure,Base config is configured to disallow clear text traffic to all domains.,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
2,customer.bmwgroup.com,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
