TRACKER NAME,CATEGORIES,URL,app,source_path
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/trackers.csv
Countly,"Profiling, Analytics",https://reports.exodus-privacy.eu.org/trackers/122,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/trackers.csv
Google CrashLytics,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/27,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/trackers.csv
Sensors Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/248,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/trackers.csv
WeChat Location,,https://reports.exodus-privacy.eu.org/trackers/76,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/trackers.csv
Demdex,Analytics,https://reports.exodus-privacy.eu.org/trackers/40,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/trackers.csv
Google CrashLytics,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/27,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/trackers.csv
Adobe Experience Cloud,,https://reports.exodus-privacy.eu.org/trackers/229,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/trackers.csv
Google CrashLytics,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/27,Tesla,/home/jovyan/work/SOEN 321/car_app_analysis/Tesla/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Tesla,/home/jovyan/work/SOEN 321/car_app_analysis/Tesla/trackers.csv
Sentry,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/447,Tesla,/home/jovyan/work/SOEN 321/car_app_analysis/Tesla/trackers.csv
Apptentive,Analytics,https://reports.exodus-privacy.eu.org/trackers/115,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/trackers.csv
Google AdMob,Advertisement,https://reports.exodus-privacy.eu.org/trackers/312,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/trackers.csv
Google CrashLytics,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/27,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/trackers.csv
Optimizely,Analytics,https://reports.exodus-privacy.eu.org/trackers/172,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/trackers.csv
Salesforce Marketing Cloud,,https://reports.exodus-privacy.eu.org/trackers/220,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/trackers.csv
